gene	EarlyMean	PreMeiMean	MeiMean	DICMean
ABCA5	20.6120943134535	71.2657142857143	188.94539408867	145.286459627329
ABCA6	0	0	0.356527093596059	0
ABCA7	0	0.373068783068783	0.16704433497537	0.303913043478261
ABCA8	0	0	0	0
ABCA9	0	0	0.495073891625616	1.27975155279503
ABCA9-AS1	0	0	0	0
ABCB1	0	0	0.249236453201971	0.0190062111801243
ABCB10	3.06121359223301	9.44671957671958	18.4933743842365	13.6367080745342
ABCB11	0	0	0	0
ABCB4	0	0	0.376133004926109	41.7937888198758
ABCB5	0	0	0	0
ABCB6	3.69065880721221	12.3975661375661	19.7243596059113	2.25186335403727
ABCB7	45.8619694868239	34.2149735449735	36.6581280788177	61.2550310559006
ABCB8	39.1404993065187	16.4483068783069	4.82990147783251	15.3093167701863
ABCB9	0	0.262539682539683	0.023448275862069	1.61385093167702
ABCC1	6.24409153952843	6.08666666666667	10.7912807881773	78.9967080745342
ABCC10	7.37088072122053	3.80555555555556	3.44396551724138	0.772173913043479
ABCC11	0	0	0	0
ABCC12	17.972746185853	0.172116402116402	0.00359605911330051	6.3932298136646
ABCC13	0	0	0	0
ABCC2	4.76099167822469	0	0	0
ABCC3	0	0	0	0
ABCC4	28.7538557558946	29.6127513227513	0.762758620689656	88.9547204968944
ABCC5	46.8299098474341	15.990582010582	59.1887192118227	35.0598136645963
ABCC5-AS1	0	0	0	0
ABCC6	0	0	0	0
ABCC6P1	0	0	0	0
ABCC6P2	0	0	0	0
ABCC8	0	0	0	0
ABCC9	22.1898613037448	27.9510582010582	66.6384236453202	36.0929192546584
ABCD1	0	0.09989417989418	7.73790640394089	2.2476397515528
ABCD2	0	0	0	0
ABCD3	13.2741886269071	27.6597883597884	30.2158866995074	65.6375776397516
ABCD4	50.2481414701803	16.17	28.5821674876847	46.3162111801242
ABCE1	159.000048543689	158.023386243386	98.8774137931035	65.068198757764
ABCF1	269.098973647711	202.575767195767	150.81224137931	180.790434782609
ABCF2	52.8318099861304	33.9767195767196	41.7891379310345	114.992670807453
ABCF3	94.5080443828016	33.1521693121693	34.516354679803	40.3652795031056
ABCG1	0	0	0	0
ABCG2	0	0	0	0.040496894409938
ABCG4	0	0	0.0635221674876848	0.273726708074535
ABCG5	0	0	0	3.04987577639752
ABCG8	0	0	0	0.179006211180125
ABHD1	0	0	0	0
ABHD10	87.4967198335645	230.196931216931	176.225344827586	176.520807453416
ABHD11	45.0548682385576	46.4861375661376	5.9806157635468	6.41236024844721
ABHD11-AS1	0	0	0	0
ABHD12	59.5488418862691	56.0425396825397	67.0678078817734	69.7187577639752
ABHD12B	9.12875866851595	1.86507936507937	0.430591133004926	111.251304347826
ABHD13	9.73399445214979	5.83343915343915	13.4945320197044	12.8017391304348
ABHD14A	34.8814493758669	132.957830687831	77.3051724137931	106.906894409938
ABHD14A-ACY1	0	0	0	0
